,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Makwan Amirkhani,60,54,83,6,9,3
Richardson Moreira,69,70,87,0,0,1
Cory Hendricks,60,77,89,0,0,1
Quinn Mulhern,69,58,89,0,0,1
Al Iaquinta,63,58,82,6,11,6
T.J. Dillashaw,67,50,78,23,31,1
Alan Omer,60,54,82,0,0,1
Jessica Rakoczy,84,43,79,0,0,1
Sean Spencer,63,64,83,3,20,5
Steve Kennedy,73,64,85,1,20,2
Brian Ebersole,78,64,85,7,8,2
Clay Guida,76,54,79,43,7,5
Gilbert Burns,65,58,83,22,13,5
Adam Milstead,63,86,89,0,2,2
Takanori Gomi,82,58,80,0,6,4
Jake Collier,60,70,89,11,7,4
Ning Guangyou,76,50,76,0,19,1
Andreas Stahl,60,64,84,1,4,2
Roland Delorme,71,50,82,1,0,2
Chris Dempsey,63,70,83,18,4,4
Renan Barao,65,54,78,15,40,6
Jason Novelli,80,58,85,0,16,2
Jon Delos Reyes,63,46,78,2,9,4
Mike Rio,76,58,83,0,0,1
Royston Wee,65,50,79,10,0,2
Jimi Manuwa,80,77,86,5,18,5
Jason Saggo,67,58,84,37,4,5
Dan Hooker,58,54,85,5,10,3
Yoshihiro Akiyama,89,64,83,0,0,1
Kyle Kingsbury,76,77,90,0,0,1
Dennis Siver,82,54,79,8,6,3
Bec Rawlings,60,43,78,4,17,4
Thales Leites,76,70,86,23,15,7
Ivan Menjivar,73,54,78,0,0,1
Alexander Volkanovski,60,58,77,0,12,1
Jimmie Rivera,58,50,76,8,23,4
Jonathan Meunier,63,64,89,0,32,2
Angela Magana,71,43,72,2,8,2
Jesse Ronson,67,58,83,2,10,2
Ronny Markes,60,70,86,0,0,1
Kyung Ho Kang,63,50,82,2,0,2
Luke Sanders,67,54,78,0,42,2
Anthony Christodoulou,63,58,82,0,0,1
Joe Duffy,63,58,83,0,0,2
Gabriel Gonzaga,80,90,87,18,5,4
Leonardo Santos,80,58,85,22,14,5
