B_Age,B_Weight,B_Height,B_avg_td_att,B_avg_sig_str,B_fights,R_Age,R_Weight,R_Height,R_avg_td_att,R_avg_sig_str,R_fights,winner
65,50,78,0,13,6,69,50,78,8,11,4,red
63,100,100,1,18,5,78,100,90,10,29,8,red
78,50,79,5,9,2,71,50,77,2,22,6,red
58,50,76,8,23,4,65,50,78,14,9,5,blue
67,58,80,33,18,8,73,58,83,0,2,4,no contest
58,50,78,14,21,2,67,46,78,34,12,4,blue
60,50,82,1,24,2,60,50,82,1,14,3,red
82,100,89,0,6,4,73,95,93,8,17,7,red
76,52,79,1,6,2,67,52,80,0,1,2,red
78,70,85,15,15,8,73,70,85,85,25,7,blue
80,70,84,0,4,3,67,70,87,20,15,11,red
82,64,83,6,12,3,63,64,86,0,8,3,red
63,64,83,3,20,5,89,64,85,17,10,6,red
56,46,76,2,2,2,71,46,78,31,9,3,red
56,64,83,26,4,3,56,64,89,15,13,5,blue
76,58,83,23,14,5,69,58,83,27,4,7,blue
63,50,83,14,3,4,67,50,79,0,11,3,red
80,50,78,2,13,2,73,50,78,0,16,3,blue
65,94,90,0,9,4,82,90,90,3,19,8,blue
58,50,79,7,0,3,65,46,76,44,43,6,red
58,43,72,29,30,5,52,43,77,17,17,5,red
76,64,86,23,16,5,69,64,85,13,18,7,blue
58,64,90,2,13,4,76,64,85,3,27,9,red
71,64,87,0,14,5,80,64,84,56,32,7,red
58,50,78,13,9,4,73,50,78,5,4,3,blue
58,58,83,40,39,11,78,58,83,6,2,3,blue
63,54,79,1,0,2,63,54,79,2,14,5,red
76,50,80,11,6,6,71,50,79,9,7,6,red
78,64,83,29,25,5,76,58,78,67,21,5,red
67,43,75,1,43,4,52,43,77,17,17,5,blue
100,70,84,7,10,7,76,77,86,4,4,4,blue
69,58,80,8,45,10,80,54,80,39,9,4,blue
67,46,78,34,12,4,73,50,77,28,4,5,red
67,94,89,5,9,3,69,100,89,7,17,3,red
71,58,83,41,8,5,71,58,84,11,24,8,red
78,77,87,89,8,9,71,77,89,23,26,9,red
60,58,83,26,3,3,69,58,82,13,20,6,blue
58,54,79,26,8,3,56,54,83,0,1,2,blue
60,50,80,10,15,6,78,50,78,30,19,7,blue
69,64,84,13,17,3,54,64,89,0,18,3,red
58,50,78,13,9,4,65,50,78,0,13,6,blue
